Metric,Mean,Std
ROC_AUC,0.9983291595163777,0.0029257933456205134
PR_AUC,0.9885206711464172,0.019610807782955608
F1,0.039344262295081964,0.07868852459016393
Brier,0.2578393542507406,0.31676574145698
ECE,0.2606154110747203,0.3152216246762285
