Group,AUC_GBM_5CV,AUC_MLP_5CV,Num_Features
All,0.7068299428577434,0.631603310602546,36
All∪Panel_C,0.7068299428577434,0.631603310602546,36
Panel_B,0.706741455686225,0.6659139251595584,7
Panel_A∪Panel_C,0.7052970034846868,0.5402731485443438,14
Panel_C,0.6880808296061749,0.5482244668999801,8
Panel_A,0.6735410126310512,0.5304990132225921,6
Panel_E,0.6573287646552772,0.4551831994108612,8
Panel_D,0.48457905066683493,0.4598238495354002,7
